order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
910125582111266,Herbs seeds - Celery,16.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herbs seeds - Thyme,19.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herbs seeds - Dill,9.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herbs seeds - fennel,16.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
902923284511266,Termites killer spray,252.20,2,House Maintenace,Cash on delivery,Leah Club,10/5/2024,10/04/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
901783899911266,Badminton Racket,"1,074.24",1,Pasabuy,Paylater,BLGDG,10/5/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
901783899911266,Badminton Racket,"1,074.22",1,Pasabuy,Paylater,BLGDG,10/5/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Change of mind
901493696111266,Multifunction rope,58.05,5,Garden maintenace,Credit Card,GM Philippines,10/3/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Bath Gloves,8.83,1,Personal use,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Brush the whole body,20.00,1,Personal use,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Charcoal toothpaste,15.71,1,Personal use,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Cotton buds,6.87,1,Personal use,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Car mount,64.02,1,Car maintenace,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
901493696111266,Pet bath massage,27.49,1,Pet Care,Credit Card,GM Philippines,9/30/2024,10/1/2024,10/2/2024,J&T Express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
900855826911266,Base for washing machine,202.82,1,House Maintenace,Credit Card,Home Zania,9/30/2024,9/28/2024,9/29/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
900451819211266,Plastic bag smiley face,43.00,1,House Maintenace,Credit Card,fazxy,9/30/2024,9/29/2024,9/30/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
900451819211266,Vegetable seeds upo,10.00,1,Garden maintenace,Credit Card,fazxy,9/30/2024,9/29/2024,9/30/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
900451819211266,Vegetable seeds kinchay,7.00,1,Garden maintenace,Credit Card,fazxy,9/28/2024,9/29/2024,9/30/2024,N/A,"Magallanes, Cavite",Coins,Yes,Yes,Missing items
900451819211266,Vegetable seeds cabbage,1.00,1,Garden maintenace,Credit Card,fazxy,9/27/2024,9/29/2024,9/30/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
900451819211266,Cable tie white,48.00,1,Garden maintenace,Credit Card,fazxy,9/27/2024,9/29/2024,9/30/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
900451819211266,Cable tie black,48.00,1,Garden maintenace,Credit Card,fazxy,9/27/2024,9/29/2024,9/30/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
906981319011266,Towel gray,102.00,1,Personal use,Credit Card,Twol,09/27/2024,9/27/2024,9/29/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
906981319011266,Towel brown,102.00,1,Personal use,Credit Card,Twol,9/27/2024,9/27/2024,9/29/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
900072450811266,Electric Toothbrush,188.00,1,Personal use,Credit Card,New E99,9/27/2024,09/26/2024,9/27/2024,LEX PH,"Silang, Cavite",Coins,Yes,N/A,N/A
900072450811266,Electric Toothbrush,188.00,1,Others,Credit Card,New E99,9/27/2024,9/27/2024,9/27/2024,LEX PH,"Silang, Cavite",Coins,Yes,N/A,N/A
900072450611266,Armor case Iphone 13,279.00,1,Others,Credit Card,Optimus Cazes.ph,9/27/2024,9/26/2024,9/27/2024,LEX PH,"Silang, Cavite",Coins,Yes,N/A,N/A
898619889411266,Aircon cleaner,169.00,1,Car maintenace,Credit Card,Peace and joy,9/26/2024,9/23/2024,9/24/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
89861998111266,Interior Protectant,78.00,1,Car maintenace,Credit Card,Ground Zero Car care,9/26/2024,9/23/2024,9/24/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
89861998111266,Watermarks remover,78.00,1,Car maintenace,Credit Card,Ground Zero Car care,9/26/2024,9/23/2024,9/24/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
903205129411266,Rivers Medium compound,291.52,1,Car maintenace,Credit Card,Rivers,9/22/2024,9/17/2024,9/18/2924,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
902857917311266,Car polishing disks 8 pcs 5 inch,156.00,1,Car maintenace,Credit Card,LOVESHOPP.PH,9/22/2024,9/17/2024,9/18/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
89634285811266,Car polishing pads 6 inch 5pcs,175.43,1,Car maintenace,Credit Card,Motus Motors,9/22/2024,N/A,N/A,N/A,"Magallanes, Cavite",Coins,Yes,Yes,Change of mind
